		A	B	C	D	NEXTWEEKBAP	BAP	CONF	BD	SAC	PK	OL	NIMISSFIND	NIMEMREF	RCLA	LAC	RCT
2016:1:0:0:CENTRAL	+886972576542	7	6	35	54	7	4	4	139	17	157	395	99	0	75	11	3
2016:1:0:0:EAST	+886972576520	0	7	43	93	27	5	4	185	48	260	281	134	0	137	31	1
2016:1:0:0:HUALIAN	+886972576536	0	2	32	37	8	1	1	100	18	107	153	79	0	67	11	3
2016:1:0:0:NORTH	+886972576546	5	6	14	49	5	1	1	88	14	97	199	79	0	68	17	0
2016:1:0:0:OFFICE	+886910358944	0	0	14	10	0	0	0	34	8	27	33	16	0	11	2	0
2016:1:0:0:SOUTH	+886972576529	1	3	48	101	21	10	2	204	51	221	337	170	0	92	26	0
2016:1:0:0:TAIDONG	+886972576519	2	4	44	72	7	0	0	142	33	114	204	65	0	52	18	5
2016:1:0:0:TAOYUAN	+886912576044	7	6	53	99	12	4	3	249	36	225	369	155	0	142	21	1
2016:1:0:0:WEST	+886972961085	1	13	34	74	8	5	5	150	33	184	326	114	0	102	30	0
2016:1:0:0:XINZHU	+886972576526	14	6	47	62	9	5	5	155	32	179	246	100	0	109	33	1
2016:1:0:0:ZHUNAN	+886963537337	3	2	16	44	11	5	2	87	25	111	159	73	0	53	8	0
2016:2:0:0:CENTRAL	+886972576542	0	1	12	25	0	0	0	51	12	79	140	61	1	39	2	5
2016:2:0:0:EAST	+886972576520	0	2	18	40	0	1	0	70	24	92	163	68	0	49	11	1
2016:2:0:0:HUALIAN	+886972576536	0	1	8	15	0	0	0	34	10	35	47	26	1	19	2	0
2016:2:0:0:NORTH	+886972576546	2	3	4	10	0	0	0	31	5	46	55	21	2	24	6	0
2016:2:0:0:OFFICE	+886972576500	0	0	7	7	0	0	0	25	1	7	17	7	2	5	2	0
2016:2:0:0:SOUTH	+886972576529	0	1	25	34	0	0	0	81	17	87	130	71	0	43	13	0
2016:2:0:0:TAIDONG	+886972576519	0	2	15	19	1	1	1	40	6	33	81	21	0	19	5	0
2016:2:0:0:TAOYUAN	+886912576044	3	0	15	32	0	1	1	82	15	85	171	57	0	43	12	0
2016:2:0:0:WEST	+886972961085	1	3	17	26	0	0	0	58	13	71	118	43	1	52	16	0
2016:2:0:0:XINZHU	+886972576526	1	3	18	22	0	0	0	51	12	58	126	51	0	44	13	0
2016:2:0:0:ZHUNAN	+886963537337	1	1	7	8	0	0	0	22	6	42	80	23	0	26	6	0
