	@CLASSLEVEL	TOTALSTUDENTS	TOTALNONMEM	NEWSTUDENTS	NEWINV
2016:2:0:0:	中級	3	6	9	16
2016:2:0:0:0	-	38	31	6	2
2016:2:0:0:ANKANG	-	37	26	10	1
2016:2:0:0:BADE	-	48	30	16	0
2016:2:0:0:BEITOU	-	17	11	9	2
2016:2:0:0:DANSHUI	-	28	16	6	1
2016:2:0:0:HUALIAN	-	56	48	7	0
2016:2:0:0:JILONG	-	60	48	14	2
2016:2:0:0:LONGTAN	-	22	16	5	1
2016:2:0:0:MIAOLI	-	12	9	1	0
2016:2:0:0:MUZHA	-	19	12	5	1
2016:2:0:0:NEIHU	-	15	9	2	1
2016:2:0:0:SANCHONG	-	80	53	21	1
2016:2:0:0:SHILIN	-	20	15	3	0
2016:2:0:0:SHUANGHE	-	90	80	23	3
2016:2:0:0:SONGSHAN	-	45	33	10	0
2016:2:0:0:TAIDONG	-	63	48	4	2
2016:2:0:0:TAOYUAN_1_2	-	52	37	12	1
2016:2:0:0:TAOYUAN_3	-	46	43	7	2
2016:2:0:0:TOUFEN	-	11	8	1	0
2016:2:0:0:TUCHENG	-	42	25	6	1
2016:2:0:0:WANDA	-	30	26	9	0
2016:2:0:0:XINBAN	-	76	62	21	2
2016:2:0:0:XINDIAN	-	33	27	9	3
2016:2:0:0:XINZHU	-	79	64	17	1
2016:2:0:0:XINZHUANG	-	19	15	3	0
2016:2:0:0:XIZHI	-	28	20	7	1
2016:2:0:0:YILAN	-	27	19	4	1
2016:2:0:0:YULI	-	11	9	2	0
2016:2:0:0:ZHONGLI	-	40	32	5	0
2016:2:0:0:ZHUBEI	-	63	40	11	0
2016:2:0:0:ZHUDONG	-	12	10	0	1
2016:2:0:0:ZHUNAN	-	32	25	6	2
2016:3:0:0:	-	40	35	18	2
2016:3:0:0:0	-	92	66	15	5
2016:3:0:0:1	-	49	40	7	0
2016:3:0:0:2	高級	64	47	8	1
2016:3:0:0:ANKANG	-	93	48	17	1
2016:3:0:0:BADE	-	163	99	26	1
2016:3:0:0:BEITOU	-	62	46	21	10
2016:3:0:0:DANSHUI	-	32	21	5	2
2016:3:0:0:HUALIAN	-	131	91	23	3
2016:3:0:0:JILONG	-	146	101	9	5
2016:3:0:0:LONGTAN	-	58	39	6	2
2016:3:0:0:MIAOLI	-	36	26	4	0
2016:3:0:0:MUZHA	-	-	44	24	3
2016:3:0:0:NEIHU	-	104	91	21	1
2016:3:0:0:SANCHONG	-	168	118	31	8
2016:3:0:0:SANXIA	-	20	18	6	0
2016:3:0:0:SHILIN	-	86	63	22	4
2016:3:0:0:SHUANGHE	-	197	178	34	5
2016:3:0:0:SONGSHAN	-	130	101	18	4
2016:3:0:0:TAIDONG	-	176	138	21	3
2016:3:0:0:TAOYUAN_1_2	-	270	192	35	9
2016:3:0:0:TAOYUAN_3	-	184	141	38	5
2016:3:0:0:TOUFEN	-	30	26	3	3
2016:3:0:0:TUCHENG	-	112	80	22	10
2016:3:0:0:WANDA	-	143	120	35	7
2016:3:0:0:XINBAN	-	204	166	57	9
2016:3:0:0:XINDIAN	-	137	107	41	7
2016:3:0:0:XINZHU	-	174	146	34	8
2016:3:0:0:XINZHUANG	-	129	112	25	8
2016:3:0:0:XIZHI	-	81	54	23	0
2016:3:0:0:YILAN	-	94	79	30	3
2016:3:0:0:YULI	-	31	25	6	1
2016:3:0:0:ZHONGLI	-	82	60	20	3
2016:3:0:0:ZHUBEI	-	149	88	22	8
2016:3:0:0:ZHUDONG	-	64	52	5	0
2016:3:0:0:ZHUNAN	-	90	57	15	3
2016:4:0:0:	beginner	23	23	9	3
2016:4:0:0:ANKANG	child	69	45	13	1
2016:4:0:0:BADE	高	175	137	29	5
2016:4:0:0:BEITOU	BEGINNER	61	55	15	4
2016:4:0:0:DANSHUI	 Intermediate	28	21	11	2
