		A	B	C	D	NWBAP	BAP	CON	BD	SAC	PK	OL	NI	RCLA	LAC	RCT
2016:1:5:7:CENTRAL	+886972576542	0	0	13	16	0	4	4	39	9	55	152	34	31	6	1
2016:1:5:7:EAST	+886972576520	0	3	14	34	1	3	3	62	23	114	128	63	55	22	1
2016:1:5:7:HUALIAN	+886972576536	0	0	11	12	0	0	0	39	11	41	67	29	25	4	3
2016:1:5:7:NORTH	+886972576546	1	3	2	13	1	0	0	25	5	37	73	27	28	6	0
2016:1:5:7:OFFICE	+886972576500	0	0	7	6	0	0	0	15	3	10	15	7	9	1	0
2016:1:5:7:SOUTH	+886972576529	0	0	23	29	0	1	1	72	29	85	145	77	43	17	0
2016:1:5:7:TAIDONG	+886972576519	1	2	17	18	3	0	0	43	16	46	86	24	21	8	1
2016:1:5:7:TAOYUAN	+886912576044	3	1	19	30	2	2	2	81	18	84	147	53	64	11	1
2016:1:5:7:WEST	+886972961085	0	3	13	31	0	3	3	57	17	61	131	47	35	10	0
2016:1:5:7:XINZHU	+886972576526	1	2	19	23	2	2	2	53	20	68	105	35	40	16	1
2016:1:5:7:ZHUNAN	+886963537337	1	0	5	17	1	2	2	28	16	42	63	24	22	6	0
